"Data Date (UTC)","Milliseconds",b_dc_power,i_dc_power,calc_add_power,gen_power,load_power,b_dc_volts,b_dc_amps,i_ac_volts_in,b_amph_in_out,b_state_of_charge,i_dc_volts,i_dc_amps,i_ac_volts_out,i_amps_out,i_amps_in,i_ac_hz,i_status,i_fault,i_temp_transformer,i_temp_fet,i_temp_battery,a_gen_run_hours_since_boot,a_gen_runtime_minutes,age_inverter,a_temperature
"Data Date (UTC)","Milliseconds",DC Power (RMK),DC Power (Inverter),Calculated Renewable Power,AC In Power,AC Out Power,VDC (BMK),DC Amps (BMK),VAC In (Inverter),Ah In/Out (BMK),SOC (BMK),VDC (Inveter),DC Amps (Inverter),VAC Out (Inverter),AC Amps Out,AC Amps IN,AC Out Hz,Inverter Status,Fault Code,Transformer Temp (C ),FET Temp (C ),Battery Temp (C ),Total Generator Runtime (Since AGS Boot),Generator Runtime (Current Cycle),Inverter Age (255 indicates old data),AGS Temp (C )
2015-01-22 10:59:38,715,0,0,0,0,0,13.51,0.0,179.10,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,25.00,18.00,12.0,12.0,1.0,72.80
2015-01-22 10:59:48,716,0,0,0,0,0,13.51,0.0,179.00,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,25.00,18.00,12.0,12.0,2.0,72.20
2015-01-22 10:59:58,716,0,0,0,0,0,13.51,0.0,178.89,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,25.00,18.00,12.0,12.0,1.0,72.11
2015-01-22 11:00:08,717,0,0,0,0,0,13.51,0.0,179.00,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,25.00,18.00,12.0,12.0,1.0,72.60
2015-01-22 11:00:18,718,0,0,0,0,0,13.51,0.0,179.00,34.0,100,13.5,0,117,0.00,0.00,60.2,2.0,0.0,30.00,25.70,18.00,12.0,12.0,1.0,73.00
2015-01-22 11:00:28,719,0,0,0,0,0,13.51,0.0,178.80,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,26.00,18.00,12.0,12.0,1.0,72.00
2015-01-22 11:00:38,719,0,0,0,0,0,13.51,0.0,179.00,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,26.00,18.00,12.0,12.0,1.0,72.00
2015-01-22 11:00:48,720,0,0,0,0,0,13.51,0.0,178.80,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,26.00,18.00,12.0,12.0,1.0,72.40
2015-01-22 11:00:58,721,0,0,0,0,0,13.51,0.0,178.89,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,26.00,18.00,12.0,12.0,1.0,71.44
2015-01-22 11:01:08,722,0,0,0,0,0,13.51,0.0,178.80,34.0,100,13.5,0,118,0.00,0.00,60.1,2.0,0.0,30.00,25.30,18.00,12.0,12.0,1.0,71.60
